 Note: all the matrix elements are given in MeV fm^3

 Potential: NSC97a

 Partial wave: 1S0 


      k(fm^-1)         nn              np            pp             Ln              Lp

    0.14320E-01   -0.26937E+02   -0.26937E+02   -0.26937E+02   -0.50007E+01   -0.50593E+01
    0.75199E-01   -0.26357E+02   -0.26357E+02   -0.26357E+02   -0.48965E+01   -0.49731E+01
    0.18372E+00   -0.23703E+02   -0.23702E+02   -0.23702E+02   -0.43744E+01   -0.45303E+01
    0.33833E+00   -0.18011E+02   -0.18010E+02   -0.18010E+02   -0.29885E+01   -0.32953E+01
    0.53704E+00   -0.99263E+01   -0.99241E+01   -0.99219E+01   -0.41138E+00   -0.88701E+00
    0.77766E+00   -0.44052E+00   -0.43613E+00   -0.43173E+00    0.32921E+01    0.26733E+01
    0.10581E+01    0.94604E+01    0.94679E+01    0.94753E+01    0.75794E+01    0.68533E+01
    0.13766E+01    0.18579E+02    0.18590E+02    0.18601E+02    0.11706E+02    0.10908E+02
    0.17321E+01    0.25845E+02    0.25860E+02    0.25875E+02    0.15117E+02    0.14284E+02
    0.21239E+01    0.30727E+02    0.30745E+02    0.30764E+02    0.17613E+02    0.16784E+02
    0.25527E+01    0.33287E+02    0.33308E+02    0.33329E+02    0.19239E+02    0.18451E+02
    0.30199E+01    0.33980E+02    0.34003E+02    0.34027E+02    0.20110E+02    0.19394E+02
    0.35288E+01    0.33389E+02    0.33414E+02    0.33439E+02    0.20313E+02    0.19689E+02
    0.40838E+01    0.32052E+02    0.32078E+02    0.32104E+02    0.19930E+02    0.19405E+02
    0.46920E+01    0.30395E+02    0.30422E+02    0.30449E+02    0.19088E+02    0.18660E+02
    0.53632E+01    0.28713E+02    0.28740E+02    0.28768E+02    0.17973E+02    0.17632E+02
    0.61118E+01    0.27178E+02    0.27206E+02    0.27234E+02    0.16781E+02    0.16515E+02
    0.69585E+01    0.25865E+02    0.25893E+02    0.25921E+02    0.15663E+02    0.15459E+02
    0.79347E+01    0.24782E+02    0.24810E+02    0.24839E+02    0.14699E+02    0.14546E+02
    0.90903E+01    0.23904E+02    0.23932E+02    0.23961E+02    0.13904E+02    0.13792E+02
    0.10512E+02    0.23190E+02    0.23219E+02    0.23247E+02    0.13256E+02    0.13176E+02
    0.12366E+02    0.22603E+02    0.22631E+02    0.22660E+02    0.12722E+02    0.12669E+02
    0.15050E+02    0.22105E+02    0.22134E+02    0.22163E+02    0.12269E+02    0.12240E+02
    0.20000E+02    0.21657E+02    0.21686E+02    0.21715E+02    0.11862E+02    0.11853E+02


 Partial wave: 3S1 


      k(fm^-1)         nn              np            pp             Ln              Lp

    0.14320E-01    0.00000E+00   -0.52107E+01    0.00000E+00    0.91172E+01    0.90595E+01
    0.75199E-01    0.00000E+00   -0.47214E+01    0.00000E+00    0.91744E+01    0.91231E+01
    0.18372E+00    0.00000E+00   -0.25327E+01    0.00000E+00    0.94652E+01    0.94420E+01
    0.33833E+00    0.00000E+00    0.18574E+01    0.00000E+00    0.10255E+02    0.10286E+02
    0.53704E+00    0.00000E+00    0.73087E+01    0.00000E+00    0.11724E+02    0.11821E+02
    0.77766E+00    0.00000E+00    0.12539E+02    0.00000E+00    0.13728E+02    0.13885E+02
    0.10581E+01    0.00000E+00    0.16737E+02    0.00000E+00    0.15738E+02    0.15948E+02
    0.13766E+01    0.00000E+00    0.19429E+02    0.00000E+00    0.17127E+02    0.17377E+02
    0.17321E+01    0.00000E+00    0.20590E+02    0.00000E+00    0.17541E+02    0.17816E+02
    0.21239E+01    0.00000E+00    0.20618E+02    0.00000E+00    0.17029E+02    0.17310E+02
    0.25527E+01    0.00000E+00    0.20069E+02    0.00000E+00    0.15904E+02    0.16174E+02
    0.30199E+01    0.00000E+00    0.19386E+02    0.00000E+00    0.14502E+02    0.14748E+02
    0.35288E+01    0.00000E+00    0.18798E+02    0.00000E+00    0.13047E+02    0.13260E+02
    0.40838E+01    0.00000E+00    0.18357E+02    0.00000E+00    0.11639E+02    0.11818E+02
    0.46920E+01    0.00000E+00    0.18021E+02    0.00000E+00    0.10329E+02    0.10476E+02
    0.53632E+01    0.00000E+00    0.17730E+02    0.00000E+00    0.91553E+01    0.92742E+01
    0.61118E+01    0.00000E+00    0.17450E+02    0.00000E+00    0.81520E+01    0.82473E+01
    0.69585E+01    0.00000E+00    0.17181E+02    0.00000E+00    0.73292E+01    0.74051E+01
    0.79347E+01    0.00000E+00    0.16938E+02    0.00000E+00    0.66709E+01    0.67310E+01
    0.90903E+01    0.00000E+00    0.16732E+02    0.00000E+00    0.61460E+01    0.61934E+01
    0.10512E+02    0.00000E+00    0.16563E+02    0.00000E+00    0.57225E+01    0.57596E+01
    0.12366E+02    0.00000E+00    0.16423E+02    0.00000E+00    0.53741E+01    0.54027E+01
    0.15050E+02    0.00000E+00    0.16305E+02    0.00000E+00    0.50792E+01    0.51006E+01
    0.20000E+02    0.00000E+00    0.16198E+02    0.00000E+00    0.48134E+01    0.48284E+01

 ···························································································

 Potential: NSC97f

 Partial wave: 1S0 


      k(fm^-1)         nn              np            pp             Ln              Lp

    0.14320E-01   -0.26937E+02   -0.26937E+02   -0.26937E+02    0.11613E+02    0.11519E+02
    0.75199E-01   -0.26358E+02   -0.26358E+02   -0.26357E+02    0.11771E+02    0.11659E+02
    0.18372E+00   -0.23708E+02   -0.23708E+02   -0.23707E+02    0.12565E+02    0.12374E+02
    0.33833E+00   -0.18029E+02   -0.18029E+02   -0.18028E+02    0.14694E+02    0.14352E+02
    0.53704E+00   -0.99703E+01   -0.99680E+01   -0.99658E+01    0.18704E+02    0.18194E+02
    0.77766E+00   -0.52642E+00   -0.52200E+00   -0.51757E+00    0.24548E+02    0.23895E+02
    0.10581E+01    0.93181E+01    0.93256E+01    0.93331E+01    0.31411E+02    0.30652E+02
    0.13766E+01    0.18373E+02    0.18385E+02    0.18396E+02    0.38088E+02    0.37256E+02
    0.17321E+01    0.25583E+02    0.25598E+02    0.25613E+02    0.43551E+02    0.42686E+02
    0.21239E+01    0.30427E+02    0.30445E+02    0.30464E+02    0.47254E+02    0.46395E+02
    0.25527E+01    0.32976E+02    0.32997E+02    0.33019E+02    0.49079E+02    0.48266E+02
    0.30199E+01    0.33685E+02    0.33708E+02    0.33732E+02    0.49166E+02    0.48430E+02
    0.35288E+01    0.33128E+02    0.33153E+02    0.33179E+02    0.47785E+02    0.47147E+02
    0.40838E+01    0.31835E+02    0.31861E+02    0.31887E+02    0.45292E+02    0.44759E+02
    0.46920E+01    0.30221E+02    0.30248E+02    0.30275E+02    0.42114E+02    0.41683E+02
    0.53632E+01    0.28577E+02    0.28604E+02    0.28632E+02    0.38693E+02    0.38353E+02
    0.61118E+01    0.27073E+02    0.27100E+02    0.27128E+02    0.35403E+02    0.35142E+02
    0.69585E+01    0.25783E+02    0.25812E+02    0.25840E+02    0.32487E+02    0.32290E+02
    0.79347E+01    0.24719E+02    0.24748E+02    0.24776E+02    0.30038E+02    0.29895E+02
    0.90903E+01    0.23856E+02    0.23884E+02    0.23913E+02    0.28039E+02    0.27938E+02
    0.10512E+02    0.23154E+02    0.23183E+02    0.23212E+02    0.26414E+02    0.26347E+02
    0.12366E+02    0.22577E+02    0.22605E+02    0.22634E+02    0.25075E+02    0.25036E+02
    0.15050E+02    0.22088E+02    0.22117E+02    0.22145E+02    0.23942E+02    0.23927E+02
    0.20000E+02    0.21647E+02    0.21676E+02    0.21705E+02    0.22920E+02    0.22927E+02

 Partial wave: 3S1 


      k(fm^-1)         nn              np            pp             Ln              Lp

    0.14320E-01    0.00000E+00   -0.52108E+01    0.00000E+00    0.21346E+02    0.21253E+02
    0.75199E-01    0.00000E+00   -0.47216E+01    0.00000E+00    0.21411E+02    0.21325E+02
    0.18372E+00    0.00000E+00   -0.25340E+01    0.00000E+00    0.21743E+02    0.21686E+02
    0.33833E+00    0.00000E+00    0.18528E+01    0.00000E+00    0.22638E+02    0.22637E+02
    0.53704E+00    0.00000E+00    0.72975E+01    0.00000E+00    0.24278E+02    0.24346E+02
    0.77766E+00    0.00000E+00    0.12516E+02    0.00000E+00    0.26449E+02    0.26586E+02
    0.10581E+01    0.00000E+00    0.16698E+02    0.00000E+00    0.28505E+02    0.28701E+02
    0.13766E+01    0.00000E+00    0.19368E+02    0.00000E+00    0.29723E+02    0.29969E+02
    0.17321E+01    0.00000E+00    0.20504E+02    0.00000E+00    0.29743E+02    0.30021E+02
    0.21239E+01    0.00000E+00    0.20510E+02    0.00000E+00    0.28676E+02    0.28966E+02
    0.25527E+01    0.00000E+00    0.19945E+02    0.00000E+00    0.26902E+02    0.27184E+02
    0.30199E+01    0.00000E+00    0.19255E+02    0.00000E+00    0.24801E+02    0.25059E+02
    0.35288E+01    0.00000E+00    0.18671E+02    0.00000E+00    0.22611E+02    0.22837E+02
    0.40838E+01    0.00000E+00    0.18243E+02    0.00000E+00    0.20451E+02    0.20641E+02
    0.46920E+01    0.00000E+00    0.17924E+02    0.00000E+00    0.18394E+02    0.18551E+02
    0.53632E+01    0.00000E+00    0.17652E+02    0.00000E+00    0.16522E+02    0.16650E+02
    0.61118E+01    0.00000E+00    0.17389E+02    0.00000E+00    0.14905E+02    0.15008E+02
    0.69585E+01    0.00000E+00    0.17133E+02    0.00000E+00    0.13570E+02    0.13653E+02
    0.79347E+01    0.00000E+00    0.16902E+02    0.00000E+00    0.12500E+02    0.12567E+02
    0.90903E+01    0.00000E+00    0.16705E+02    0.00000E+00    0.11647E+02    0.11701E+02
    0.10512E+02    0.00000E+00    0.16542E+02    0.00000E+00    0.10958E+02    0.11002E+02
    0.12366E+02    0.00000E+00    0.16408E+02    0.00000E+00    0.10392E+02    0.10427E+02
    0.15050E+02    0.00000E+00    0.16295E+02    0.00000E+00    0.99123E+01    0.99400E+01
    0.20000E+02    0.00000E+00    0.16193E+02    0.00000E+00    0.94803E+01    0.95013E+01

