# Energies as a function of beta with 1M Monte Carlo cycles
# Beta    Local energy     Variance       Error
0.0500     -2.8233215     0.52498803  0.00072456058
0.100     -2.8383270     0.46192032  0.00067964720
0.150     -2.8505929     0.43630909  0.00066053697
0.200     -2.8583366     0.40984297  0.00064018979
0.250     -2.8652141     0.40516468  0.00063652548
0.300     -2.8665125     0.39779514  0.00063071003
0.350     -2.8690594     0.37592322  0.00061312577
0.400     -2.8722614     0.40156657  0.00063369281
0.450     -2.8727546     0.37878818  0.00061545770
0.500     -2.8735195     0.36853589  0.00060707157
0.550     -2.8762648     0.43472068  0.00065933352
0.600     -2.8742301     0.38609693  0.00062136698
0.650     -2.8734853     0.38649202  0.00062168482
0.700     -2.8725465     0.37218740  0.00061007163
0.750     -2.8740300     0.37413888  0.00061166893
0.800     -2.8724950     0.39231138  0.00062634765
0.850     -2.8725064     0.39183940  0.00062597076
0.900     -2.8730655     0.38030577  0.00061668936
0.950     -2.8704844     0.38010466  0.00061652629
1.00     -2.8761758     0.48898113  0.00069927185
