10000 	0.33 	 17.646 	 17.316
15000 	0.36 	 26.325 	 25.965
20000 	0.47 	 34.914 	 34.444
25000 	0.62 	 43.911 	 43.291
30000 	0.72 	 52.564 	 51.844
35000 	0.82 	 61.584 	 60.764
40000 	0.95 	 70.158 	 69.208
45000 	1.06 	 79.103 	 78.043
50000 	1.19 	 87.729 	 86.539
55000 	1.31 	 96.61 	 	 95.3
60000 	1.43 	 104.93 	 103.5
65000 	1.55 	 114.292 	 112.742
70000 	1.67 	 123.757 	 122.087
75000 	1.8 	 132.812 	 131.012
80000 	1.9 	 141.638 	 139.738
85000 	2.04 	 151.319 	 149.279
90000 	2.21 	 158.818 	 156.608
95000 	2.29 	 168.578 	 166.288
100000 	2.42 	 176.622 	 174.202
105000 	2.57 	 185.518 	 182.948
