E2->E0:                     E(0)          E(2)         dE2
g 1pert 0hf 0p3-1s1 -1s1    -348.8217     -346.2481    2.5736
g 1pert 0hf 0p3-1s1 +1s1    -349.0038     -346.3844    2.6194
g 2pert 0hf 0p3-1s1 -1s1    -361.7122     -358.0836    3.6286
g 2pert 0hf 0p3-1s1 +1s1    -362.3054     -358.5290    3.7746
g 3pert 0hf 0p3-1s1 -1s1    -362.4950     -358.5843    3.9107
g 3pert 0hf 0p3-1s1 +1s1    -366.0564     -362.5468    3.1457
g 3pert 1hf 0p3-1s1 -1s1    -330.9969     -328.9074    2.0895
g 3pert 1hf 0p3-1s1 +1s1    -331.7031     -329.2389    2.4642
v 1pert 0hf 0p3-1s1 -1s1    -340.4298     -337.8540    2.5758
v 1pert 0hf 0p3-1s1 +1s1    -340.6357     -337.9863    2.6494
v 2pert 0hf 0p3-1s1 -1s1    -355.7066     -352.0537    3.6529
v 2pert 0hf 0p3-1s1 +1s1    -356.2493     -352.4463    3.8030
v 3pert 0hf 0p3-1s1 -1s1    -361.4838     -357.3767    4.1071
v 3pert 0hf 0p3-1s1 +1s1    -364.8373     -361.4827    3.3546
v 3pert 1hf 0p3-1s1 -1s1    -302.2644     -300.2371    2.0273
v 3pert 1hf 0p3-1s1 +1s1    -303.2833     -300.7117    2.5716
