# Energies with 0.05 <= beta <= 1.05, dt = 0.01, acceptanceMean = 0.76
# Acceptance	beta	   energy	   variance	   error
0.9977	 	0.05    -2.74666282      0.00286219      0.00016918
0.99781	  	0.1    	-2.79322531      0.00159939      0.00012647
0.61797		0.15    -2.81528688      0.00031520      0.00005614
0.27987		0.2    	-2.81316441      0.00041405      0.00006435
0.29632		0.25    -2.81468229      0.00013843      0.00003721
0.997505	0.3    	-2.81405125      0.00097653      0.00009882
0.998095	0.35    -2.81549283      0.00061997      0.00007874
0.99854		0.4    	-2.81373217      0.00041400      0.00006434
0.190185	0.45    -2.81737004      0.00013745      0.00003707
0.998285	0.5    	-2.81746114      0.00062046      0.00007877
0.997695	0.55    -2.81557238      0.00069191      0.00008318
0.998045	0.6    	-2.81781520      0.00052290      0.00007231
0.99827		0.65    -2.81728536      0.00065373      0.00008085
0.997995	0.7    	-2.81999808      0.00066285      0.00008142
0.881915	0.75    -2.81756914      0.00099507      0.00009975
0.22747		0.8    	-2.81595024      0.00015003      0.00003873
0.59263		0.85    -2.81702742      0.00035934      0.00005994
0.259015	0.9    	-2.81605490      0.00009351      0.00003058
0.99854		0.95    -2.81914627      0.00048102      0.00006936
0.998165	1.0    	-2.81585125      0.00062112      0.00007881






