# Energies with 0.05 <= beta <= 1.05, dt = 0.1
# Acceptance	beta	   energy	   variance	   error
0.903775	0.05 	-2.45407733      0.09479782      0.00097364
0.90163	  	0.1    	-2.58104634      0.06932536      0.00083262
0.89895	   	0.15    -2.64827608      0.05437021      0.00073736
0.896535	0.2    	-2.69988112      0.05979953      0.00077330
0.897775	0.25    -2.72553322      0.06936013      0.00083283
0.897415	0.3    	-2.75015676      0.06346168      0.00079663
0.894635	0.35    -2.76831575      0.05605691      0.00074871
0.894155	0.4    	-2.78467062      0.05137476      0.00071676
0.89167	   	0.45    -2.79159638      0.05745764      0.00075801
0.894415	0.5    	-2.80091008      0.05451889      0.00073837
0.894005	0.55    -2.80786190      0.05116654      0.00071531
0.894775	0.6    	-2.81493024      0.05359881      0.00073211
0.89148	   	0.65    -2.81989175      0.04940004      0.00070285
0.89433	  	0.7    	-2.82154801      0.05687760      0.00075417
0.89396	   	0.75    -2.82226327      0.05138403      0.00071683
0.891635	0.8    	-2.82670943      0.05010665      0.00070786
0.89092	   	0.85    -2.83274909      0.06149593      0.00078419
0.89161	  	0.9    	-2.83594838      0.05772824      0.00075979
0.89277	     	0.95   	-2.83776277      0.05724437      0.00075660
0.89023	  	1.0    	-2.83665088      0.05583864      0.00074725





