# Energies with 0.05 <= beta <= 1.05, dt = 0.05
# Acceptance	beta	   energy	   variance	   error
0.9637		0.05   	-2.52844819      0.03920612      0.00062615
0.961145	0.1    	-2.64920749      0.02556019      0.00050557
0.96259	   	0.15    -2.71372256      0.01595751      0.00039947
0.963965	0.2    	-2.74425444      0.01743678      0.00041757
0.963175	0.25    -2.76869465      0.01564792      0.00039557
0.96303		0.3    	-2.78213551      0.02371662      0.00048700
0.96368		0.35    -2.79224286      0.01646100      0.00040572
0.9621		0.4    	-2.80111543      0.01682718      0.00041021
0.962185	0.45    -2.80429702      0.01982484      0.00044525
0.962235	0.5    	-2.81054959      0.03024395      0.00054995
0.96295		0.55    -2.81341163      0.01650073      0.00040621
0.96288		0.6    	-2.81675799      0.01705971      0.00041303
0.96318		0.65    -2.81954304      0.01623615      0.00040294
0.96353		0.7    	-2.82296683      0.01798480      0.00042408 
0.96308		0.75    -2.82368362      0.01671514      0.00040884
0.96291		0.8    	-2.82538997      0.02233917      0.00047264
0.963745	0.85    -2.82520288      0.01539743      0.00039240
0.96225		0.9    	-2.82366767      0.01606274      0.00040078
0.963475	0.95    -2.82968666      0.01645094      0.00040560 
0.964715	1.0    	-2.82852067      0.01698366      0.00041211




