# Beta    Local energy     Variance       Error
0.0300     -2.8202367     0.50818954  0.00022543060
0.0600     -2.8323714     0.48612035  0.00022048137
0.0900     -2.8413118     0.47705821  0.00021841662
0.120     -2.8498178     0.45322594  0.00021289104
0.150     -2.8537528     0.52160323  0.00022838635
0.180     -2.8578913     0.43288313  0.00020805844
0.210     -2.8609825     0.40493948  0.00020123108
0.240     -2.8643781     0.44199932  0.00021023780
0.270     -2.8669770     0.41455897  0.00020360721
0.300     -2.8683518     0.41561333  0.00020386597
0.330     -2.8697884     0.39243856  0.00019810062
0.360     -2.8713660     0.40272898  0.00020068109
0.390     -2.8721587     0.39274084  0.00019817690
0.420     -2.8724292     0.43091730  0.00020758548
0.450     -2.8731096     0.38828060  0.00019704837
0.480     -2.8740286     0.44425535  0.00021077366
0.510     -2.8736502     0.40420621  0.00020104880
0.540     -2.8746969     0.42475857  0.00020609672
0.570     -2.8740759     0.39979255  0.00019994813
0.600     -2.8746768     0.38924243  0.00019729228
0.630     -2.8764913      3.3406956  0.00057798751
0.660     -2.8740039     0.55712913  0.00023603583
0.690     -2.8741103     0.41388775  0.00020344231
0.720     -2.8742789     0.40663832  0.00020165275
0.750     -2.8744391     0.39075956  0.00019767639
0.780     -2.8742466     0.42154870  0.00020531651
0.810     -2.8738582     0.40748146  0.00020186170
0.840     -2.8732733     0.39603746  0.00019900690
0.870     -2.8728188     0.40155507  0.00020038839
0.900     -2.8728645     0.41253707  0.00020311009
0.930     -2.8727006     0.43690972  0.00020902386
0.960     -2.8715551     0.41431769  0.00020354795
0.990     -2.8720118     0.42450281  0.00020603466
1.02     -2.8721004     0.42100997  0.00020518528
1.05     -2.8715300     0.41269965  0.00020315010
1.08     -2.8715493     0.43679214  0.00020899573
1.11     -2.8715636     0.42116169  0.00020522224
1.14     -2.8702201     0.41589800  0.00020393577
1.17     -2.8702344     0.42641428  0.00020649801
1.20     -2.8696185     0.43841165  0.00020938282
