%0.001           3.0273591       1.2e-3         100.0
%0.002           3.0290313       9.0e-4         100.0
%0.003           3.0298139       7.2e-4          99.99          
%0.004           3.0296392       6.2e-4          99.99
%0.005           3.0298670       5.8e-4          99.99
%0.006           3.0299785       5.2e-4          99.98
%0.007           3.0297841       4.8e-4          99.98
%0.008           3.0297820       4.5e-4          99.97
%0.009           3.0299359       4.3e-4          99.97  
%0.01            3.0290205       4.0e-4          99.96
0.02            3.0293469       2.8e-4          99.89
0.03            3.0295463       2.4e-4          99.81
0.04            3.0292742       2.0e-4          99.71
0.05            3.0294467       1.8e-4          99.60
0.06            3.0291281       1.6e-4          99.48
%0.07            3.0295234       1.5e-4          99.34
%0.08            3.0295218       1.4e-4          99.21
%0.09            3.0295178       1.4e-4          99.06
%0.1             3.0295786       1.3e-4          98.90

